	value
interest_rate	0.01
income_shock_mean	0.0004322378610998633
income_shock_std	0.14892465237602165
taste_shock_scale	1.004976115127052
discount_factor	0.7732928076004641
rho	0.33464163751850995
gamma	[0.87951756 1.61834301 1.89171739 1.24598598]
beta0	-6.896104044649029
beta1	0.027168298835916926
beta2	-0.0001768093349215562
kappa1	0.018772096819954218
kappa2	0.001396763836881291
phi_entry	1.2475709911260073
phi_exit	1.161125002768745
phi_switch	0.9229108840644925
alpha1	0.000417
alpha2	0.099277
b_scale	1.2689744149149913
xi	0.31661774444764457
eta_edu	0.43848
