	value
interest_rate	0.01
income_shock_mean	0.000577785598855321
income_shock_std	0.16029471759512304
taste_shock_scale	0.9104606874822919
discount_factor	0.9128963615276195
rho	0.3534019180819816
gamma	[0.56107683 1.13829966 1.68758188 1.58020971]
beta0	-7.721101409916507
beta1	0.07418311839644703
beta2	-0.0005894472446704149
kappa1	0.012897605265188863
kappa2	0.0017746164934792706
phi_entry	1.1091183375867275
phi_exit	0.7242914024092078
phi_switch	1.449416138116412
alpha1	0.000417
alpha2	0.099277
b_scale	1.24558159443344
xi	0.4150974559035951
eta_edu	0.43848
